 1.193988e+00 -1.094970e+02 
 1.196741e+00 -1.094970e+02 
 1.199499e+00 -1.094970e+02 
 1.202264e+00 -1.094970e+02 
 1.205036e+00 -1.094970e+02 
 1.207814e+00 -1.094970e+02 
 1.210598e+00 -1.094970e+02 
 1.213389e+00 -1.094970e+02 
 1.216186e+00 -1.094970e+02 
 1.218990e+00 -1.094970e+02 
 1.221800e+00 -1.094970e+02 
 1.224616e+00 -1.094970e+02 
 1.227439e+00 -1.094970e+02 
 1.230269e+00 -1.094970e+02 
 1.233105e+00 -1.094970e+02 
 1.235947e+00 -1.094970e+02 
 1.238797e+00 -1.094970e+02 
 1.241652e+00 -1.094970e+02 
 1.244515e+00 -1.094970e+02 
 1.247384e+00 -1.094970e+02 
 1.250259e+00 -1.094970e+02 
 1.253141e+00 -1.094970e+02 
 1.256030e+00 -1.094970e+02 
 1.258925e+00 -1.094970e+02 
 1.261828e+00 -1.094970e+02 
 1.264736e+00 -1.094970e+02 
 1.267652e+00 -1.094970e+02 
 1.270574e+00 -1.094970e+02 
 1.273503e+00 -1.094970e+02 
 1.276439e+00 -1.094970e+02 
 1.279381e+00 -1.094970e+02 
 1.282331e+00 -1.094970e+02 
 1.285287e+00 -1.094970e+02 
 1.288250e+00 -1.094970e+02 
 1.291219e+00 -1.094970e+02 
 1.294196e+00 -1.094970e+02 
 1.297179e+00 -1.094970e+02 
 1.300170e+00 -1.094970e+02 
 1.303167e+00 -1.094970e+02 
 1.306171e+00 -1.094970e+02 
 1.309182e+00 -1.094970e+02 
 1.312200e+00 -1.094970e+02 
 1.315225e+00 -1.094970e+02 
 1.318257e+00 -1.094970e+02 
 1.321296e+00 -1.094970e+02 
 1.324342e+00 -1.094970e+02 
 1.327394e+00 -1.094970e+02 
 1.330454e+00 -1.094970e+02 
 1.333521e+00 -1.094970e+02 
 1.336596e+00 -1.094970e+02 
 1.339677e+00 -1.094970e+02 
 1.342765e+00 -1.094970e+02 
 1.345860e+00 -1.094970e+02 
 1.348963e+00 -1.094970e+02 
 1.352073e+00 -1.094970e+02 
 1.355189e+00 -1.094970e+02 
 1.358313e+00 -1.094970e+02 
 1.361445e+00 -1.094970e+02 
 1.364583e+00 -1.094970e+02 
 1.367729e+00 -1.094970e+02 
 1.370882e+00 -1.094970e+02 
 1.374042e+00 -1.094970e+02 
 1.377209e+00 -1.094970e+02 
 1.380384e+00 -1.094970e+02 
 1.383566e+00 -1.094970e+02 
 1.386756e+00 -1.094970e+02 
 1.389953e+00 -1.094970e+02 
 1.393157e+00 -1.094970e+02 
 1.396368e+00 -1.094970e+02 
 1.399587e+00 -1.094970e+02 
 1.402814e+00 -1.094970e+02 
 1.406048e+00 -1.094970e+02 
 1.409289e+00 -1.094970e+02 
 1.412538e+00 -1.094970e+02 
 1.415794e+00 -1.094970e+02 
 1.419058e+00 -1.094970e+02 
 1.422329e+00 -1.094970e+02 
 1.425608e+00 -1.094970e+02 
 1.428894e+00 -1.094970e+02 
 1.432188e+00 -1.094970e+02 
 1.435489e+00 -1.094970e+02 
 1.438799e+00 -1.094970e+02 
 1.442115e+00 -1.094970e+02 
 1.445440e+00 -1.094970e+02 
 1.448772e+00 -1.094970e+02 
 1.452112e+00 -1.094970e+02 
 1.455459e+00 -1.094970e+02 
 1.458814e+00 -1.094970e+02 
 1.462177e+00 -1.094970e+02 
 1.465548e+00 -1.094970e+02 
 1.468926e+00 -1.094970e+02 
 1.472313e+00 -1.094970e+02 
 1.475707e+00 -1.094970e+02 
 1.479108e+00 -1.094970e+02 
 1.482518e+00 -1.094970e+02 
 1.485936e+00 -1.094970e+02 
 1.489361e+00 -1.094970e+02 
 1.492794e+00 -1.094970e+02 
 1.496236e+00 -1.094970e+02 
 1.499685e+00 -1.094970e+02 
 1.503142e+00 -1.094970e+02 
 1.506607e+00 -1.094970e+02 
 1.510080e+00 -1.094970e+02 
 1.513561e+00 -1.094970e+02 
 1.517050e+00 -1.094970e+02 
 1.520548e+00 -1.094970e+02 
 1.524053e+00 -1.094970e+02 
 1.527566e+00 -1.094970e+02 
 1.531087e+00 -1.094970e+02 
 1.534617e+00 -1.094970e+02 
 1.538155e+00 -1.094970e+02 
 1.541700e+00 -1.094970e+02 
 1.545254e+00 -1.094970e+02 
 1.548817e+00 -1.094970e+02 
 1.552387e+00 -1.094970e+02 
 1.555966e+00 -1.094970e+02 
 1.559553e+00 -1.094970e+02 
 1.563148e+00 -1.094970e+02 
 1.566751e+00 -1.094970e+02 
 1.570363e+00 -1.094970e+02 
 1.573983e+00 -1.094970e+02 
 1.577611e+00 -1.094970e+02 
 1.581248e+00 -1.094970e+02 
 1.584893e+00 -1.094970e+02 
 1.588547e+00 -1.094970e+02 
 1.592209e+00 -1.094970e+02 
 1.595879e+00 -1.094970e+02 
 1.599558e+00 -1.094970e+02 
 1.603245e+00 -1.094970e+02 
 1.606941e+00 -1.094970e+02 
 1.610646e+00 -1.094970e+02 
 1.614359e+00 -1.094970e+02 
 1.618080e+00 -1.094970e+02 
 1.621810e+00 -1.094970e+02 
 1.625549e+00 -1.094970e+02 
 1.629296e+00 -1.094970e+02 
 1.633052e+00 -1.094970e+02 
 1.636817e+00 -1.094970e+02 
 1.640590e+00 -1.094970e+02 
 1.644372e+00 -1.094970e+02 
 1.648162e+00 -1.094970e+02 
 1.651962e+00 -1.094970e+02 
 1.655770e+00 -1.094970e+02 
 1.659587e+00 -1.094970e+02 
 1.663413e+00 -1.094970e+02 
 1.667247e+00 -1.094970e+02 
 1.671091e+00 -1.094970e+02 
 1.674943e+00 -1.094970e+02 
 1.678804e+00 -1.094970e+02 
 1.682674e+00 -1.094970e+02 
 1.686553e+00 -1.094970e+02 
 1.690441e+00 -1.094970e+02 
 1.694338e+00 -1.094970e+02 
 1.698244e+00 -1.094970e+02 
 1.702159e+00 -1.094970e+02 
 1.706082e+00 -1.094970e+02 
 1.710015e+00 -1.094970e+02 
 1.713957e+00 -1.094970e+02 
 1.717908e+00 -1.094970e+02 
 1.721869e+00 -1.094970e+02 
 1.725838e+00 -1.094970e+02 
 1.729816e+00 -1.094970e+02 
 1.733804e+00 -1.094970e+02 
 1.737801e+00 -1.094970e+02 
 1.741807e+00 -1.094970e+02 
 1.745822e+00 -1.094970e+02 
 1.749847e+00 -1.094970e+02 
 1.753881e+00 -1.094970e+02 
 1.757924e+00 -1.094970e+02 
 1.761976e+00 -1.094970e+02 
 1.766038e+00 -1.094970e+02 
 1.770109e+00 -1.094970e+02 
 1.774189e+00 -1.094970e+02 
 1.778279e+00 -1.094970e+02 
 1.782379e+00 -1.094970e+02 
 1.786488e+00 -1.094970e+02 
 1.790606e+00 -1.094970e+02 
 1.794734e+00 -1.094970e+02 
 1.798871e+00 -1.094970e+02 
 1.803018e+00 -1.094970e+02 
 1.807174e+00 -1.094970e+02 
 1.811340e+00 -1.094970e+02 
 1.815516e+00 -1.094970e+02 
 1.819701e+00 -1.094970e+02 
 1.823896e+00 -1.094970e+02 
 1.828100e+00 -1.094970e+02 
 1.832314e+00 -1.094970e+02 
 1.836538e+00 -1.094970e+02 
 1.840772e+00 -1.094970e+02 
 1.845015e+00 -1.094970e+02 
 1.849269e+00 -1.094970e+02 
 1.853532e+00 -1.094970e+02 
 1.857804e+00 -1.094970e+02 
 1.862087e+00 -1.094970e+02 
 1.866380e+00 -1.094970e+02 
 1.870682e+00 -1.094970e+02 
 1.874995e+00 -1.094970e+02 
 1.879317e+00 -1.094970e+02 
 1.883649e+00 -1.094970e+02 
 1.887991e+00 -1.094970e+02 
 1.892344e+00 -1.094970e+02 
 1.896706e+00 -1.094970e+02 
 1.901078e+00 -1.094970e+02 
 1.905461e+00 -1.094970e+02 
 1.909853e+00 -1.094970e+02 
 1.914256e+00 -1.094970e+02 
 1.918669e+00 -1.094970e+02 
 1.923092e+00 -1.094970e+02 
 1.927525e+00 -1.094970e+02 
 1.931968e+00 -1.094970e+02 
 1.936422e+00 -1.094970e+02 
 1.940886e+00 -1.094970e+02 
 1.945360e+00 -1.094970e+02 
 1.949845e+00 -1.094970e+02 
 1.954339e+00 -1.094970e+02 
 1.958845e+00 -1.094970e+02 
 1.963360e+00 -1.094970e+02 
 1.967886e+00 -1.094970e+02 
 1.972423e+00 -1.094970e+02 
 1.976970e+00 -1.094970e+02 
 1.981527e+00 -1.094970e+02 
 1.986095e+00 -1.094970e+02 
 1.990673e+00 -1.094970e+02 
 1.995262e+00 -1.094970e+02 
 1.999862e+00 -1.094970e+02 
 2.004472e+00 -1.094970e+02 
 2.009093e+00 -1.094970e+02 
 2.013724e+00 -1.094970e+02 
 2.018366e+00 -1.094970e+02 
 2.023019e+00 -1.094970e+02 
 2.027683e+00 -1.094970e+02 
 2.032357e+00 -1.094970e+02 
 2.037042e+00 -1.094970e+02 
 2.041738e+00 -1.094970e+02 
 2.046445e+00 -1.094970e+02 
 2.051162e+00 -1.094970e+02 
 2.055891e+00 -1.094970e+02 
 2.060630e+00 -1.094970e+02 
 2.065380e+00 -1.094970e+02 
 2.070141e+00 -1.094970e+02 
 2.074914e+00 -1.094970e+02 
 2.079697e+00 -1.094970e+02 
 2.084491e+00 -1.094970e+02 
 2.089296e+00 -1.094970e+02 
 2.094112e+00 -1.094970e+02 
 2.098940e+00 -1.094970e+02 
 2.103778e+00 -1.094970e+02 
 2.108628e+00 -1.094970e+02 
 2.113489e+00 -1.094970e+02 
 2.118361e+00 -1.094970e+02 
 2.123244e+00 -1.094970e+02 
 2.128139e+00 -1.094970e+02 
 2.133045e+00 -1.094970e+02 
 2.137962e+00 -1.094970e+02 
 2.142891e+00 -1.094970e+02 
 2.147830e+00 -1.094970e+02 
 2.152782e+00 -1.094970e+02 
 2.157744e+00 -1.094970e+02 
 2.162719e+00 -1.094970e+02 
 2.167704e+00 -1.094970e+02 
 2.172701e+00 -1.094970e+02 
 2.177710e+00 -1.094970e+02 
 2.182730e+00 -1.094970e+02 
 2.187762e+00 -1.094970e+02 
 2.192805e+00 -1.094970e+02 
 2.197860e+00 -1.094970e+02 
 2.202926e+00 -1.094970e+02 
 2.208005e+00 -1.094970e+02 
 2.213095e+00 -1.094970e+02 
 2.218196e+00 -1.094970e+02 
 2.223310e+00 -1.094970e+02 
 2.228435e+00 -1.094970e+02 
 2.233572e+00 -1.094970e+02 
 2.238721e+00 -1.094970e+02 
 2.243882e+00 -1.094970e+02 
 2.249055e+00 -1.094970e+02 
 2.254239e+00 -1.094970e+02 
 2.259436e+00 -1.094970e+02 
 2.264644e+00 -1.094970e+02 
 2.269865e+00 -1.094970e+02 
 2.275097e+00 -1.094970e+02 
 2.280342e+00 -1.094970e+02 
 2.285599e+00 -1.094970e+02 
 2.290868e+00 -1.094970e+02 
 2.296149e+00 -1.094970e+02 
 2.301442e+00 -1.094970e+02 
 2.306747e+00 -1.094970e+02 
 2.312065e+00 -1.094970e+02 
 2.317395e+00 -1.094970e+02 
 2.322737e+00 -1.094970e+02 
 2.328091e+00 -1.094970e+02 
 2.333458e+00 -1.094970e+02 
 2.338837e+00 -1.094970e+02 
 2.344229e+00 -1.094970e+02 
 2.349633e+00 -1.094970e+02 
 2.355049e+00 -1.094970e+02 
 2.360478e+00 -1.094970e+02 
 2.365920e+00 -1.094970e+02 
 2.371374e+00 -1.094970e+02 
 2.376840e+00 -1.094970e+02 
 2.382319e+00 -1.094970e+02 
 2.387811e+00 -1.094970e+02 
 2.393316e+00 -1.094970e+02 
 2.398833e+00 -1.094970e+02 
 2.404363e+00 -1.094970e+02 
 2.409905e+00 -1.094970e+02 
 2.415461e+00 -1.094970e+02 
 2.421029e+00 -1.094970e+02 
 2.426610e+00 -1.094970e+02 
 2.432204e+00 -1.094970e+02 
 2.437811e+00 -1.094970e+02 
 2.443431e+00 -1.094970e+02 
 2.449063e+00 -1.094970e+02 
 2.454709e+00 -1.094970e+02 
 2.460368e+00 -1.094970e+02 
 2.466039e+00 -1.094970e+02 
 2.471724e+00 -1.094970e+02 
 2.477422e+00 -1.094970e+02 
 2.483133e+00 -1.094970e+02 
 2.488857e+00 -1.094970e+02 
 2.494595e+00 -1.094970e+02 
 2.500345e+00 -1.094970e+02 
 2.506109e+00 -1.094970e+02 
 2.511886e+00 -1.094970e+02 
 2.517677e+00 -1.094970e+02 
 2.523481e+00 -1.094970e+02 
 2.529298e+00 -1.094970e+02 
 2.535129e+00 -1.094970e+02 
 2.540973e+00 -1.094970e+02 
 2.546830e+00 -1.094970e+02 
 2.552701e+00 -1.094970e+02 
 2.558586e+00 -1.094970e+02 
 2.564484e+00 -1.094970e+02 
 2.570396e+00 -1.094970e+02 
 2.576321e+00 -1.094970e+02 
 2.582260e+00 -1.094970e+02 
 2.588213e+00 -1.094970e+02 
 2.594179e+00 -1.094970e+02 
 2.600160e+00 -1.094970e+02 
 2.606154e+00 -1.094970e+02 
 2.612161e+00 -1.094970e+02 
 2.618183e+00 -1.094970e+02 
 2.624219e+00 -1.094970e+02 
 2.630268e+00 -1.094970e+02 
 2.636331e+00 -1.094970e+02 
 2.642409e+00 -1.094970e+02 
 2.648500e+00 -1.094970e+02 
 2.654606e+00 -1.094970e+02 
 2.660725e+00 -1.094970e+02 
 2.666859e+00 -1.094970e+02 
 2.673006e+00 -1.094970e+02 
 2.679168e+00 -1.094970e+02 
 2.685344e+00 -1.094970e+02 
 2.691535e+00 -1.094970e+02 
 2.697739e+00 -1.094970e+02 
 2.703958e+00 -1.094970e+02 
 2.710192e+00 -1.094970e+02 
 2.716439e+00 -1.094970e+02 
 2.722701e+00 -1.094970e+02 
 2.728978e+00 -1.094970e+02 
 2.735269e+00 -1.094970e+02 
 2.741574e+00 -1.094970e+02 
 2.747894e+00 -1.094970e+02 
 2.754229e+00 -1.094970e+02 
 2.760578e+00 -1.094970e+02 
 2.766942e+00 -1.094970e+02 
 2.773320e+00 -1.094970e+02 
 2.779713e+00 -1.094970e+02 
 2.786121e+00 -1.094970e+02 
 2.792544e+00 -1.094970e+02 
 2.798981e+00 -1.094970e+02 
 2.805434e+00 -1.094970e+02 
 2.811901e+00 -1.094970e+02 
 2.818383e+00 -1.094970e+02 
 2.824880e+00 -1.094970e+02 
 2.831392e+00 -1.094970e+02 
 2.837919e+00 -1.094970e+02 
 2.844461e+00 -1.094970e+02 
 2.851018e+00 -1.094970e+02 
 2.857591e+00 -1.094970e+02 
 2.864178e+00 -1.094970e+02 
 2.870781e+00 -1.094970e+02 
 2.877398e+00 -1.094970e+02 
 2.884032e+00 -1.094970e+02 
 2.890680e+00 -1.094970e+02 
 2.897344e+00 -1.094970e+02 
 2.904023e+00 -1.094970e+02 
 2.910717e+00 -1.094970e+02 
 2.917427e+00 -1.094970e+02 
 2.924152e+00 -1.094970e+02 
 2.930893e+00 -1.094970e+02 
 2.937650e+00 -1.094970e+02 
 2.944422e+00 -1.094970e+02 
 2.951209e+00 -1.094970e+02 
 2.958012e+00 -1.094970e+02 
 2.964831e+00 -1.094970e+02 
 2.971666e+00 -1.094970e+02 
 2.978516e+00 -1.094970e+02 
 2.985383e+00 -1.094970e+02 
 2.992265e+00 -1.094970e+02 
 2.999163e+00 -1.094970e+02 
 3.006076e+00 -1.094970e+02 
 3.013006e+00 -1.094970e+02 
 3.019952e+00 -1.094970e+02 
 3.026913e+00 -1.094970e+02 
 3.033891e+00 -1.094970e+02 
 3.040885e+00 -1.094970e+02 
 3.047895e+00 -1.094970e+02 
 3.054921e+00 -1.094970e+02 
 3.061963e+00 -1.094970e+02 
 3.069022e+00 -1.094970e+02 
 3.076097e+00 -1.094970e+02 
 3.083188e+00 -1.094970e+02 
 3.090295e+00 -1.094970e+02 
 3.097419e+00 -1.094970e+02 
 3.104560e+00 -1.094970e+02 
 3.111716e+00 -1.094970e+02 
 3.118890e+00 -1.094970e+02 
 3.126079e+00 -1.094970e+02 
 3.133286e+00 -1.094970e+02 
 3.140509e+00 -1.094970e+02 
 3.147748e+00 -1.094970e+02 
 3.155005e+00 -1.094970e+02 
 3.162278e+00 -1.094970e+02 
 3.169567e+00 -1.094970e+02 
 3.176874e+00 -1.094970e+02 
 3.184198e+00 -1.094970e+02 
 3.191538e+00 -1.094970e+02 
 3.198895e+00 -1.094970e+02 
 3.206269e+00 -1.094970e+02 
 3.213661e+00 -1.094970e+02 
 3.221069e+00 -1.094970e+02 
 3.228494e+00 -1.094970e+02 
 3.235937e+00 -1.094970e+02 
 3.243396e+00 -1.094970e+02 
 3.250873e+00 -1.094970e+02 
 3.258367e+00 -1.094970e+02 
 3.265878e+00 -1.094970e+02 
 3.273407e+00 -1.094970e+02 
 3.280953e+00 -1.094970e+02 
 3.288516e+00 -1.094970e+02 
 3.296097e+00 -1.094970e+02 
 3.303695e+00 -1.094970e+02 
 3.311311e+00 -1.094970e+02 
 3.318945e+00 -1.094970e+02 
 3.326596e+00 -1.094970e+02 
 3.334264e+00 -1.094970e+02 
 3.341950e+00 -1.094970e+02 
 3.349654e+00 -1.094970e+02 
 3.357376e+00 -1.094970e+02 
 3.365116e+00 -1.094970e+02 
 3.372873e+00 -1.094970e+02 
 3.380648e+00 -1.094970e+02 
 3.388442e+00 -1.094970e+02 
 3.396253e+00 -1.094970e+02 
 3.404082e+00 -1.094970e+02 
 3.411929e+00 -1.094970e+02 
 3.419794e+00 -1.094970e+02 
 3.427678e+00 -1.094970e+02 
 3.435579e+00 -1.094970e+02 
 3.443499e+00 -1.094970e+02 
 3.451437e+00 -1.094970e+02 
 3.459394e+00 -1.094970e+02 
 3.467369e+00 -1.094970e+02 
 3.475362e+00 -1.094970e+02 
 3.483373e+00 -1.094970e+02 
 3.491403e+00 -1.094970e+02 
 3.499452e+00 -1.094970e+02 
 3.507519e+00 -1.094970e+02 
 3.515604e+00 -1.094970e+02 
 3.523709e+00 -1.094970e+02 
 3.531832e+00 -1.094970e+02 
 3.539973e+00 -1.094970e+02 
 3.548134e+00 -1.094970e+02 
 3.556313e+00 -1.094970e+02 
 3.564511e+00 -1.094970e+02 
 3.572728e+00 -1.094970e+02 
 3.580964e+00 -1.094970e+02 
 3.589219e+00 -1.094970e+02 
 3.597493e+00 -1.094970e+02 
 3.605786e+00 -1.094970e+02 
 3.614099e+00 -1.094970e+02 
 3.622430e+00 -1.094970e+02 
 3.630781e+00 -1.094970e+02 
 3.639150e+00 -1.094970e+02 
 3.647539e+00 -1.094970e+02 
 3.655948e+00 -1.094970e+02 
 3.664376e+00 -1.094970e+02 
 3.672823e+00 -1.094970e+02 
 3.681290e+00 -1.094970e+02 
 3.689776e+00 -1.094970e+02 
 3.698282e+00 -1.094970e+02 
 3.706807e+00 -1.094970e+02 
 3.715352e+00 -1.094970e+02 
 3.723917e+00 -1.094970e+02 
 3.732502e+00 -1.094970e+02 
 3.741106e+00 -1.094970e+02 
 3.749730e+00 -1.094970e+02 
 3.758374e+00 -1.094970e+02 
 3.767038e+00 -1.094970e+02 
 3.775722e+00 -1.094970e+02 
 3.784426e+00 -1.094970e+02 
 3.793150e+00 -1.094970e+02 
 3.801894e+00 -1.094970e+02 
 3.810658e+00 -1.094970e+02 
 3.819443e+00 -1.094970e+02 
 3.828247e+00 -1.094970e+02 
 3.837072e+00 -1.094970e+02 
 3.845918e+00 -1.094970e+02 
 3.854784e+00 -1.094970e+02 
 3.863670e+00 -1.094970e+02 
 3.872576e+00 -1.094970e+02 
 3.881504e+00 -1.094970e+02 
 3.890451e+00 -1.094970e+02 
 3.899420e+00 -1.094970e+02 
 3.908409e+00 -1.094970e+02 
 3.917419e+00 -1.094970e+02 
 3.926449e+00 -1.094970e+02 
 3.935501e+00 -1.094970e+02 
 3.944573e+00 -1.094970e+02 
 3.953666e+00 -1.094970e+02 
 3.962780e+00 -1.094970e+02 
 3.971915e+00 -1.094970e+02 
 3.981072e+00 -1.094970e+02 
 3.990249e+00 -1.094970e+02 
 3.999447e+00 -1.094970e+02 
 4.008667e+00 -1.094970e+02 
 4.017908e+00 -1.094970e+02 
 4.027170e+00 -1.094970e+02 
 4.036454e+00 -1.094970e+02 
 4.045759e+00 -1.094970e+02 
 4.055085e+00 -1.094970e+02 
 4.064433e+00 -1.094970e+02 
 4.073803e+00 -1.094970e+02 
 4.083194e+00 -1.094970e+02 
 4.092607e+00 -1.094970e+02 
 4.102041e+00 -1.094970e+02 
 4.111497e+00 -1.094970e+02 
 4.120975e+00 -1.094970e+02 
 4.130475e+00 -1.094970e+02 
 4.139997e+00 -1.094970e+02 
 4.149540e+00 -1.094970e+02 
 4.159106e+00 -1.094970e+02 
 4.168694e+00 -1.094970e+02 
 4.178304e+00 -1.094970e+02 
 4.187936e+00 -1.094970e+02 
 4.197590e+00 -1.094970e+02 
 4.207266e+00 -1.094970e+02 
 4.216965e+00 -1.094970e+02 
 4.226686e+00 -1.094970e+02 
 4.236430e+00 -1.094970e+02 
 4.246196e+00 -1.094970e+02 
 4.255984e+00 -1.094970e+02 
 4.265795e+00 -1.094970e+02 
 4.275629e+00 -1.094970e+02 
 4.285485e+00 -1.094970e+02 
 4.295364e+00 -1.094970e+02 
 4.305266e+00 -1.094970e+02 
 4.315191e+00 -1.094970e+02 
 4.325138e+00 -1.094970e+02 
 4.335109e+00 -1.094970e+02 
 4.345102e+00 -1.094970e+02 
 4.355119e+00 -1.094970e+02 
 4.365158e+00 -1.094970e+02 
 4.375221e+00 -1.094970e+02 
 4.385307e+00 -1.094970e+02 
 4.395416e+00 -1.094970e+02 
 4.405549e+00 -1.094970e+02 
 4.415704e+00 -1.094970e+02 
 4.425884e+00 -1.094970e+02 
 4.436086e+00 -1.094970e+02 
 4.446313e+00 -1.094970e+02 
 4.456562e+00 -1.094970e+02 
 4.466836e+00 -1.094970e+02 
 4.477133e+00 -1.094970e+02 
 4.487454e+00 -1.094970e+02 
 4.497799e+00 -1.094970e+02 
 4.508167e+00 -1.094970e+02 
 4.518559e+00 -1.094970e+02 
 4.528976e+00 -1.094970e+02 
 4.539416e+00 -1.094970e+02 
 4.549881e+00 -1.094970e+02 
 4.560369e+00 -1.094970e+02 
 4.570882e+00 -1.094970e+02 
 4.581419e+00 -1.094970e+02 
 4.591980e+00 -1.094970e+02 
 4.602566e+00 -1.094970e+02 
 4.613176e+00 -1.094970e+02 
 4.623810e+00 -1.094970e+02 
 4.634469e+00 -1.094970e+02 
 4.645153e+00 -1.094970e+02 
 4.655861e+00 -1.094970e+02 
 4.666594e+00 -1.094970e+02 
 4.677351e+00 -1.094970e+02 
 4.688134e+00 -1.094970e+02 
 4.698941e+00 -1.094970e+02 
 4.709773e+00 -1.094970e+02 
 4.720630e+00 -1.094970e+02 
 4.731513e+00 -1.094970e+02 
 4.742420e+00 -1.094970e+02 
 4.753352e+00 -1.094970e+02 
 4.764310e+00 -1.094970e+02 
 4.775293e+00 -1.094970e+02 
 4.786301e+00 -1.094970e+02 
 4.797334e+00 -1.094970e+02 
 4.808393e+00 -1.094970e+02 
 4.819478e+00 -1.094970e+02 
 4.830588e+00 -1.094970e+02 
 4.841724e+00 -1.094970e+02 
 4.852885e+00 -1.094970e+02 
 4.864072e+00 -1.094970e+02 
 4.875285e+00 -1.094970e+02 
 4.886524e+00 -1.094970e+02 
 4.897788e+00 -1.094970e+02 
 4.909079e+00 -1.094970e+02 
 4.920395e+00 -1.094970e+02 
 4.931738e+00 -1.094970e+02 
 4.943107e+00 -1.094970e+02 
 4.954502e+00 -1.094970e+02 
 4.965923e+00 -1.094970e+02 
 4.977371e+00 -1.094970e+02 
 4.988845e+00 -1.094970e+02 
 5.000345e+00 -1.094970e+02 
 5.011872e+00 -1.094970e+02 
 5.023426e+00 -1.094970e+02 
 5.035006e+00 -1.094970e+02 
 5.046613e+00 -1.094970e+02 
 5.058247e+00 -1.094970e+02 
 5.069907e+00 -1.094970e+02 
 5.081594e+00 -1.094970e+02 
 5.093309e+00 -1.094970e+02 
 5.105050e+00 -1.094970e+02 
 5.116818e+00 -1.094970e+02 
 5.128614e+00 -1.094970e+02 
 5.140437e+00 -1.094970e+02 
 5.152286e+00 -1.094970e+02 
 5.164164e+00 -1.094970e+02 
 5.176068e+00 -1.094970e+02 
 5.188000e+00 -1.094970e+02 
 5.199960e+00 -1.094970e+02 
 5.211947e+00 -1.094970e+02 
 5.223962e+00 -1.094970e+02 
 5.236004e+00 -1.094970e+02 
 5.248075e+00 -1.094970e+02 
 5.260173e+00 -1.094970e+02 
 5.272299e+00 -1.094970e+02 
 5.284453e+00 -1.094970e+02 
 5.296634e+00 -1.094970e+02 
 5.308844e+00 -1.094970e+02 
 5.321083e+00 -1.094970e+02 
 5.333349e+00 -1.094970e+02 
 5.345644e+00 -1.094970e+02 
 5.357967e+00 -1.094970e+02 
 5.370318e+00 -1.094970e+02 
 5.382698e+00 -1.094970e+02 
 5.395106e+00 -1.094970e+02 
 5.407543e+00 -1.094970e+02 
 5.420009e+00 -1.094970e+02 
 5.432503e+00 -1.094970e+02 
